Variable,Mean,Median,SD,Min,Max,Q1,Q3
year,2015,2015,3.15,2010,2020,2012,2018
grid,11.3,11,6.32,1,24,6,17
position,12.3,11,7.67,1,25,6,17
points,4.71,0,7.1,0,50,0,8
qualifying_position,11.3,11,6.31,1,24,6,17
constructor_prestige,4.14,4,1.82,1,6,2,6
position_change,1.44,1,4.11,-17,21,-1,4
races,19.1,19,2.4,1,21,19,21
race_completed,0.805,1,0.396,0,1,1,1
dnf,0.195,0,0.396,0,1,0,0
