"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2017,"Alonso","McLaren",19,0,0,17,12.7368421052632,17,11,0.421052631578947,3.90909090909091
2017,"Bottas","Mercedes",20,3,13,305,3.35,4.05,1,0.95,12.3526315789474
2017,"Button","McLaren",1,0,0,0,20,25,1,0,NA
2017,"di Resta","Williams",1,0,0,0,19,25,1,0,NA
2017,"Ericsson","Sauber",20,0,0,0,16.85,17.85,7,0.65,1.81428571428571
2017,"Gasly","Toro Rosso",5,0,0,0,17,13.6,0,1,2.25
2017,"Giovinazzi","Sauber",2,0,0,0,17,18.5,1,0.5,2.8
2017,"Grosjean","Haas F1 Team",20,0,0,28,13.2,13.1,3,0.85,3.51764705882353
2017,"Hamilton","Mercedes",20,9,13,363,3.6,2.7,0,1,13.465
2017,"Hartley","Toro Rosso",4,0,0,0,18.5,19.5,2,0.5,2.65
2017,"Hülkenberg","Renault",20,0,0,43,9.65,14.55,7,0.65,4.27857142857143
2017,"Kvyat","Toro Rosso",15,0,0,5,12.2666666666667,15.4666666666667,5,0.666666666666667,2.59090909090909
2017,"Magnussen","Haas F1 Team",20,0,0,19,14.2,14.85,5,0.75,3.05333333333333
2017,"Massa","Williams",19,0,0,43,10.2631578947368,11,2,0.894736842105263,4.21764705882353
2017,"Ocon","Force India",20,0,0,87,9.5,8.8,1,0.95,5.52631578947368
2017,"Palmer","Renault",16,0,0,8,15.125,16.0625,5,0.6875,3.15454545454545
2017,"Pérez","Force India",20,0,0,100,8.85,8.75,2,0.9,5.86842105263158
2017,"Räikkönen","Ferrari",20,0,7,205,3.94736842105263,7.55,4,0.8,9.89411764705882
2017,"Ricciardo","Red Bull",20,1,9,200,7.36842105263158,9.9,6,0.7,11.9357142857143
2017,"Sainz","Renault",4,0,0,6,8.75,17,2,0.5,4.15
2017,"Sainz","Toro Rosso",16,0,0,48,12.375,14.4375,6,0.625,5.98
2017,"Stroll","Williams",20,0,1,40,14.15,13.95,5,0.75,3.94375
2017,"Vandoorne","McLaren",20,0,0,13,14.6,15.7,6,0.7,3.36428571428571
2017,"Verstappen","Red Bull",20,2,4,168,6.1,11.5,7,0.65,10.9230769230769
2017,"Vettel","Ferrari",20,5,13,317,3.15,4.8,2,0.9,13.15
2017,"Wehrlein","Sauber",18,0,0,5,16.4444444444444,15.7222222222222,3,0.833333333333333,2.20666666666667
2018,"Alonso","McLaren",21,0,0,50,12.9047619047619,14.4285714285714,8,0.619047619047619,4.65333333333333
2018,"Bottas","Mercedes",21,0,8,247,4.14285714285714,5.90476190476191,2,0.904761904761905,10.7052631578947
2018,"Ericsson","Sauber",21,0,0,9,15.2380952380952,14.3809523809524,4,0.80952380952381,3.01764705882353
2018,"Gasly","Toro Rosso",21,0,0,29,13.4285714285714,14.4285714285714,5,0.761904761904762,3.71875
2018,"Grosjean","Haas F1 Team",21,0,0,37,10.1428571428571,14.8571428571429,6,0.714285714285714,3.86666666666667
2018,"Hamilton","Mercedes",21,11,17,408,2.71428571428571,3.04761904761905,1,0.952380952380952,14.74
2018,"Hartley","Toro Rosso",21,0,0,4,15.4,16.6190476190476,7,0.666666666666667,2.54
2018,"Hülkenberg","Renault",21,0,0,69,11.2857142857143,13.7142857142857,7,0.666666666666667,5.84285714285714
2018,"Leclerc","Sauber",21,0,0,39,12.4285714285714,14.3809523809524,6,0.714285714285714,4.34
2018,"Magnussen","Haas F1 Team",21,0,0,56,10.2857142857143,12.2380952380952,3,0.857142857142857,4.31666666666667
2018,"Ocon","Force India",21,0,0,49,10.1904761904762,13.7142857142857,6,0.714285714285714,4.8
2018,"Pérez","Force India",21,0,1,62,11.1904761904762,11.2380952380952,2,0.904761904761905,4.54210526315789
2018,"Räikkönen","Ferrari",21,1,12,251,3.76190476190476,7.38095238095238,4,0.80952380952381,11.5588235294118
2018,"Ricciardo","Red Bull",21,2,2,170,8.19047619047619,12,8,0.619047619047619,11.1615384615385
2018,"Sainz","Renault",21,0,0,53,10,10.952380952381,2,0.904761904761905,4.25789473684211
2018,"Sirotkin","Williams",21,0,0,1,16.2857142857143,16.2857142857143,3,0.857142857142857,1.9
2018,"Stroll","Williams",21,0,0,6,16.3809523809524,14.9047619047619,3,0.857142857142857,2.23157894736842
2018,"Vandoorne","McLaren",21,0,0,12,15.9047619047619,13.6666666666667,3,0.857142857142857,2.8
2018,"Verstappen","Red Bull",21,2,11,249,7.04761904761905,7.57142857142857,4,0.80952380952381,11.8823529411765
2018,"Vettel","Ferrari",21,5,12,320,2.85714285714286,4.19047619047619,1,0.952380952380952,12.2
2019,"Albon","Red Bull",9,0,0,76,7.25,6.22222222222222,0,1,7.7625
2019,"Albon","Toro Rosso",12,0,0,16,12.3636363636364,12.1666666666667,1,0.916666666666667,3.49
2019,"Bottas","Mercedes",21,4,15,326,3.71428571428571,4.80952380952381,2,0.904761904761905,13.1157894736842
2019,"Gasly","Red Bull",12,0,0,63,7.90909090909091,9.16666666666667,2,0.833333333333333,6.17272727272727
2019,"Gasly","Toro Rosso",9,0,1,32,11.4444444444444,10.4444444444444,1,0.888888888888889,4.61111111111111
2019,"Giovinazzi","Alfa Romeo",21,0,0,14,13.8095238095238,14.1904761904762,2,0.904761904761905,2.57894736842105
2019,"Grosjean","Haas F1 Team",21,0,0,8,11.5714285714286,16.7142857142857,7,0.666666666666667,2.13333333333333
2019,"Hamilton","Mercedes",21,11,17,413,2.33333333333333,2.38095238095238,0,1,14.1619047619048
2019,"Hülkenberg","Renault",21,0,0,37,10.95,13.0952380952381,4,0.80952380952381,4.03125
2019,"Kubica","Williams",21,0,0,1,18.6111111111111,17.7142857142857,2,0.904761904761905,1.39375
2019,"Kvyat","Toro Rosso",21,0,1,37,13.3809523809524,12.7142857142857,3,0.857142857142857,3.98333333333333
2019,"Leclerc","Ferrari",21,2,10,264,4.28571428571429,6.19047619047619,3,0.857142857142857,10.9
2019,"Magnussen","Haas F1 Team",21,0,0,20,11.5,14.3333333333333,3,0.857142857142857,2.53888888888889
2019,"Norris","McLaren",21,0,0,49,9.33333333333333,12.3809523809524,6,0.714285714285714,4.25882352941176
2019,"Pérez","Racing Point",21,0,0,52,12.85,11.3333333333333,2,0.904761904761905,4.45
2019,"Räikkönen","Alfa Romeo",21,0,0,43,11.6315789473684,12.2380952380952,2,0.904761904761905,3.87647058823529
2019,"Ricciardo","Renault",21,0,0,54,10.6190476190476,13.8571428571429,6,0.714285714285714,4.84666666666667
2019,"Russell","Williams",21,0,0,0,17.6,16.4285714285714,2,0.904761904761905,1.8
2019,"Sainz","McLaren",21,0,1,96,10.2857142857143,11.0952380952381,4,0.80952380952381,6.29411764705882
2019,"Stroll","Racing Point",21,0,0,21,15.2857142857143,13.2857142857143,3,0.857142857142857,3.21578947368421
2019,"Verstappen","Red Bull",21,3,9,278,4.71428571428571,5.57142857142857,2,0.904761904761905,11.5578947368421
2019,"Vettel","Ferrari",21,1,9,240,4.23809523809524,7,3,0.857142857142857,9.99473684210526
2020,"Aitken","Williams",1,0,0,0,17,16,0,1,1.5
2020,"Albon","Red Bull",17,0,2,105,7.35294117647059,8.76470588235294,2,0.882352941176471,6.54375
2020,"Bottas","Mercedes",17,2,11,223,2.29411764705882,5.52941176470588,1,0.941176470588235,10.7125
2020,"Fittipaldi","Haas F1 Team",2,0,0,0,18.5,18,0,1,1.05
2020,"Gasly","AlphaTauri",17,1,1,75,10.2352941176471,11.2352941176471,3,0.823529411764706,6.05
2020,"Giovinazzi","Alfa Romeo",17,0,0,4,16.7647058823529,15.8235294117647,3,0.823529411764706,2.47142857142857
2020,"Grosjean","Haas F1 Team",15,0,0,2,16.3076923076923,16.7333333333333,3,0.8,2.04
2020,"Hamilton","Mercedes",16,11,14,347,1.875,1.875,0,1,15.30625
2020,"Hülkenberg","Racing Point",3,0,0,10,12,13.3333333333333,1,0.666666666666667,6.2
2020,"Kvyat","AlphaTauri",17,0,0,32,12.2352941176471,11.4705882352941,2,0.882352941176471,3.75625
2020,"Latifi","Williams",17,0,0,0,18.5625,17.1176470588235,3,0.823529411764706,2
2020,"Leclerc","Ferrari",17,0,2,98,8.47058823529412,11.2352941176471,4,0.764705882352941,7.26923076923077
2020,"Magnussen","Haas F1 Team",17,0,0,1,16.75,18.3529411764706,7,0.588235294117647,1.91
2020,"Norris","McLaren",17,0,1,97,8.76470588235294,8.82352941176471,1,0.941176470588235,6.48125
2020,"Ocon","Renault",17,0,1,62,10.0588235294118,12.2352941176471,4,0.764705882352941,5.77692307692308
2020,"Pérez","Racing Point",15,1,2,125,7.4,7.73333333333333,2,0.866666666666667,7.98571428571429
2020,"Räikkönen","Alfa Romeo",17,0,0,4,16.3529411764706,13.7058823529412,1,0.941176470588235,2.58125
2020,"Ricciardo","Renault",17,0,2,119,7.58823529411765,7.82352941176471,1,0.941176470588235,7.2125
2020,"Russell","Mercedes",1,0,0,3,2,9,0,1,3.8
2020,"Russell","Williams",16,0,0,0,15.4666666666667,17.5625,4,0.75,1.86363636363636
2020,"Sainz","McLaren",17,0,1,105,8.35294117647059,10,3,0.823529411764706,7.38571428571429
2020,"Stroll","Racing Point",16,0,2,75,8.4375,12.625,5,0.6875,6.84545454545455
